2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №11, direction to NORTH. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №12, direction to WEST. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №13, direction to EAST. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №14, direction to SOUTH. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №15, direction to WEST. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №16, direction to SOUTH. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №17, direction to NORTH. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №18, direction to WEST. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №19, direction to EAST. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №20, direction to NORTH. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №21, direction to WEST. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №22, direction to EAST. is departed.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №12, direction to WEST. is approaching to tunnel - Tunnel - Gotthard-Basistunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №15, direction to WEST. is approaching to tunnel - Tunnel - Gotthard-Basistunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №16, direction to SOUTH. is approaching to tunnel - Tunnel - Gotthard-Basistunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:51 INFO  ConsoleHelper:11 - Train: №18, direction to WEST. is approaching to tunnel - Tunnel - Gotthard-Basistunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:52 INFO  ConsoleHelper:11 - Train: №15, direction to WEST. drove in tunnel - Tunnel - Gotthard-Basistunnel. Direction to - WEST. Trains in tunnel - 1.
2018-02-08 23:15:52 INFO  ConsoleHelper:11 - Train: №12, direction to WEST. drove in tunnel - Tunnel - Gotthard-Basistunnel. Direction to - WEST. Trains in tunnel - 2.
2018-02-08 23:15:52 INFO  ConsoleHelper:11 - Train: №18, direction to WEST. is waiting near tunnel - Tunnel - Gotthard-Basistunnel. Direction to - WEST. Trains in tunnel - 2 Reason - Tunnel is full.
2018-02-08 23:15:52 INFO  ConsoleHelper:11 - Train: №16, direction to SOUTH. is waiting near tunnel - Tunnel - Gotthard-Basistunnel. Direction to - WEST. Trains in tunnel - 2 Reason - Tunnel is full.
2018-02-08 23:15:53 INFO  ConsoleHelper:11 - Train: №21, direction to WEST. is approaching to tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:53 INFO  ConsoleHelper:11 - Train: №13, direction to EAST. is approaching to tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:53 INFO  ConsoleHelper:11 - Train: №19, direction to EAST. is approaching to tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:53 INFO  ConsoleHelper:11 - Train: №22, direction to EAST. is approaching to tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:53 INFO  ConsoleHelper:11 - Train: №20, direction to NORTH. is approaching to tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:53 INFO  ConsoleHelper:11 - Train: №14, direction to SOUTH. is approaching to tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:53 INFO  ConsoleHelper:11 - Train: №11, direction to NORTH. is approaching to tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:53 INFO  ConsoleHelper:11 - Train: №17, direction to NORTH. is approaching to tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:15:54 INFO  ConsoleHelper:11 - Train: №13, direction to EAST. drove in tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 1.
2018-02-08 23:15:54 INFO  ConsoleHelper:11 - Train: №17, direction to NORTH. is waiting near tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 1 Reason - Directions are different.
2018-02-08 23:15:54 INFO  ConsoleHelper:11 - Train: №21, direction to WEST. is waiting near tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 1 Reason - Directions are different.
2018-02-08 23:15:54 INFO  ConsoleHelper:11 - Train: №19, direction to EAST. drove in tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2.
2018-02-08 23:15:54 INFO  ConsoleHelper:11 - Train: №11, direction to NORTH. is waiting near tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2 Reason - Directions are different.
2018-02-08 23:15:54 INFO  ConsoleHelper:11 - Train: №14, direction to SOUTH. is waiting near tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2 Reason - Directions are different.
2018-02-08 23:15:54 INFO  ConsoleHelper:11 - Train: №20, direction to NORTH. is waiting near tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2 Reason - Directions are different.
2018-02-08 23:15:54 INFO  ConsoleHelper:11 - Train: №22, direction to EAST. drove in tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 3.
2018-02-08 23:15:56 INFO  ConsoleHelper:11 - Train: №19, direction to EAST. drove out tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2.
2018-02-08 23:15:56 INFO  ConsoleHelper:11 - Train: №17, direction to NORTH. drove in tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 3.
2018-02-08 23:15:56 INFO  ConsoleHelper:11 - Train: №13, direction to EAST. drove out tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2.
2018-02-08 23:15:56 INFO  ConsoleHelper:11 - Train: №21, direction to WEST. drove in tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 3.
2018-02-08 23:15:56 INFO  ConsoleHelper:11 - Train: №22, direction to EAST. drove out tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2.
2018-02-08 23:15:56 INFO  ConsoleHelper:11 - Train: №11, direction to NORTH. drove in tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 3.
2018-02-08 23:15:57 INFO  ConsoleHelper:11 - Train: №15, direction to WEST. drove out tunnel - Tunnel - Gotthard-Basistunnel. Direction to - WEST. Trains in tunnel - 1.
2018-02-08 23:15:57 INFO  ConsoleHelper:11 - Train: №18, direction to WEST. drove in tunnel - Tunnel - Gotthard-Basistunnel. Direction to - WEST. Trains in tunnel - 2.
2018-02-08 23:15:57 INFO  ConsoleHelper:11 - Train: №12, direction to WEST. drove out tunnel - Tunnel - Gotthard-Basistunnel. Direction to - WEST. Trains in tunnel - 1.
2018-02-08 23:15:57 INFO  ConsoleHelper:11 - Train: №16, direction to SOUTH. is waiting near tunnel - Tunnel - Gotthard-Basistunnel. Direction to - WEST. Trains in tunnel - 1 Reason - Directions are different.
2018-02-08 23:15:59 INFO  ConsoleHelper:11 - Train: №17, direction to NORTH. drove out tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2.
2018-02-08 23:15:59 INFO  ConsoleHelper:11 - Train: №14, direction to SOUTH. drove in tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 3.
2018-02-08 23:15:59 INFO  ConsoleHelper:11 - Train: №11, direction to NORTH. drove out tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2.
2018-02-08 23:15:59 INFO  ConsoleHelper:11 - Train: №21, direction to WEST. drove out tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 1.
2018-02-08 23:15:59 INFO  ConsoleHelper:11 - Train: №20, direction to NORTH. drove in tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 2.
2018-02-08 23:16:01 INFO  ConsoleHelper:11 - Train: №14, direction to SOUTH. drove out tunnel - Tunnel - Seikan Tunnel. Direction to - EAST. Trains in tunnel - 1.
2018-02-08 23:16:01 INFO  ConsoleHelper:11 - Train: №20, direction to NORTH. drove out tunnel - Tunnel - Seikan Tunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:16:01 INFO  ConsoleHelper:11 - Train: №15, direction to WEST. is arrived to station.
2018-02-08 23:16:01 INFO  ConsoleHelper:11 - Train: №12, direction to WEST. is arrived to station.
2018-02-08 23:16:02 INFO  ConsoleHelper:11 - Train: №19, direction to EAST. is arrived to station.
2018-02-08 23:16:02 INFO  ConsoleHelper:11 - Train: №13, direction to EAST. is arrived to station.
2018-02-08 23:16:02 INFO  ConsoleHelper:11 - Train: №22, direction to EAST. is arrived to station.
2018-02-08 23:16:02 INFO  ConsoleHelper:11 - Train: №18, direction to WEST. drove out tunnel - Tunnel - Gotthard-Basistunnel. Direction to - NONE. Trains in tunnel - 0.
2018-02-08 23:16:02 INFO  ConsoleHelper:11 - Train: №16, direction to SOUTH. drove in tunnel - Tunnel - Gotthard-Basistunnel. Direction to - NONE. Trains in tunnel - 1.
2018-02-08 23:16:03 INFO  ConsoleHelper:11 - Train: №21, direction to WEST. is arrived to station.
2018-02-08 23:16:06 INFO  ConsoleHelper:11 - Train: №17, direction to NORTH. is arrived to station.
2018-02-08 23:16:06 INFO  ConsoleHelper:11 - Train: №11, direction to NORTH. is arrived to station.
